index,Number of Comments,Number of Subscribers,Membership Duration,Number of Uploads,Profanity in UserID,Age,class
868,17,0,3,5,0,22,1
869,23,0,3,5,0,32,0
870,6,1,4,3,0,29,0
871,2,15,3,4,0,14,0
872,11,49,3,5,1,15,0
873,24,7,5,3,0,24,0
874,15,13,4,5,0,17,0
875,21,43,8,5,0,38,0
876,13,0,4,5,0,32,1
877,20,22,7,18,1,32,1
878,2,97,6,14,0,41,0
879,18,0,2,1,0,23,0
880,12,0,3,5,0,21,0
881,24,9,4,1,0,22,0
882,42,1,3,4,0,30,0
883,15,58,5,212,0,17,0
884,32,0,3,5,1,21,1
885,22,3,4,1,0,50,0
886,21,59,6,7,0,21,0
887,19,18,5,2,1,19,0
888,31,2,4,5,0,39,1
889,18,0,4,5,0,56,0
890,9,10,3,51,0,16,0
891,2,2,4,5,0,21,0
892,18,0,4,6,0,22,0
893,8,4,4,2,0,21,0
894,3,2,4,5,0,18,0
895,39,3,2,1,0,14,1
896,16,35,2,2,0,15,0
897,5,8,3,5,1,16,0
898,7,0,2,5,0,14,0
899,24,0,4,5,0,14,0
900,21,25,2,7,0,21,0
901,5,1,8,5,0,33,0
902,1,10,2,5,0,44,0
903,36,1,5,5,0,25,1
904,10,3,4,5,0,19,0
905,7,8,3,17,0,22,0
906,21,69,7,3,0,23,0
907,12,7,3,5,1,22,0
908,33,49,5,75,0,21,0
909,11,0,4,5,0,22,0
910,1,0,3,7,0,42,0
911,9,2,3,2,0,20,0
912,5,5,4,5,0,24,0
913,25,3,5,3,0,21,1
914,3,2,2,5,0,23,0
915,29,10,3,5,0,22,1
916,3,0,2,5,0,17,0
917,23,493,6,4,0,23,0
918,18,0,2,5,0,15,0
919,24,2,5,5,0,22,0
920,9,5,4,5,0,14,0
921,14,0,3,5,0,13,0
922,6,10,6,8,0,19,0
923,28,3,6,5,0,22,0
924,8,0,2,5,0,15,0
925,6,2,4,5,0,28,0
926,9,0,2,5,0,28,0
927,9,71,4,32,0,21,0
928,1,8,3,3,0,16,0
929,1,0,2,5,0,16,0
930,17,0,3,5,0,36,0
931,28,5,6,11,0,32,0
932,5,1,5,32,0,31,0
933,19,0,3,1,0,21,0
934,6,2,3,5,0,20,0
935,1,6,4,12,0,19,0
936,35,4,7,5,1,110,0
937,43,6,5,7,0,29,0
938,27,1,4,5,0,19,0
939,8,143,3,5,0,13,0
940,30,3,6,2,0,22,1
941,9,4,4,18,0,27,0
942,27,3,4,5,0,31,1
943,13,101,7,15,0,18,0
944,16,3,5,3,0,31,1
945,3,1,2,5,0,30,0
946,5,0,6,3,0,39,1
947,17,0,2,1,0,15,0
948,40,5,2,1,1,18,0
949,16,0,4,5,0,27,0
950,6,5,2,3,0,18,0
951,23,0,2,3,0,20,0
952,14,1,3,1,0,18,0
953,7,18,4,15,0,25,0
954,3,10,3,2,1,18,0
955,11,1,3,2,0,16,0
956,10,4,3,5,0,14,0
957,22,9,5,2,0,41,0
958,3,16,4,40,0,17,0
959,20,4,2,15,0,18,1
960,44,0,5,5,0,23,0
961,4,6,2,6,0,16,0
962,31,12,5,18,0,32,0
963,33,0,2,5,1,16,0
964,12,9,4,1,1,21,0
965,8,0,3,5,1,29,0
966,4,12,2,3,0,17,0
967,26,4,5,5,0,22,0
968,1,0,7,5,0,29,0
969,9,1,5,5,0,17,0
970,1,2352,8,169,0,30,0
971,18,13,6,13,0,18,0
972,15,0,8,1,0,21,0
973,9,0,4,5,0,23,0
974,32,0,7,5,1,25,1
975,29,0,5,5,0,22,0
976,14,510,4,21,0,21,0
977,9,0,2,6,0,15,0
978,16,5,4,8,0,15,0
979,19,0,2,5,0,14,0
980,34,17,5,20,1,41,0
981,36,0,5,5,0,30,1
982,21,0,4,5,0,22,0
983,11,53,7,35,0,29,0
984,16,0,3,5,0,28,0
985,15,18,3,5,0,15,0
986,5,2,2,8,0,13,0
987,25,1,7,5,0,23,0
988,14,62,4,1,0,22,0
989,6,0,3,5,0,22,1
990,19,8,6,1,1,18,0
991,20,0,3,5,1,22,0
992,19,0,6,5,0,35,0
993,7,7,3,6,0,61,1
994,12,0,3,5,0,21,1
995,13,0,4,3,0,30,0
996,19,3,2,5,0,62,1
997,1,7,5,1,0,54,0
998,6,9,4,5,0,21,0
999,11,5,5,5,0,22,0
1000,24,5,4,5,0,21,0
1001,11,0,3,5,0,20,0
1002,11,6,3,15,0,15,0
1003,24,3,3,8,0,19,0
1004,4,15,5,17,0,19,0
1005,14,3,4,5,0,23,0
1006,7,161,2,12,0,19,0
1007,7,23,4,83,0,42,1
1008,10,0,3,5,0,22,0
1009,8,1,3,5,0,21,0
1010,30,0,4,5,1,30,1
1011,30,1,2,2,0,34,1
1012,30,3,4,1,0,21,0
1013,3,0,4,7,0,15,0
1014,8,25,3,36,0,17,0
1015,17,18,4,5,0,15,0
1016,6,30,3,5,0,49,0
1017,28,1,3,5,1,21,1
1018,17,0,2,5,1,50,1
1019,2,1,3,5,1,23,0
1020,16,22,6,2,1,22,0
1021,2,3,5,1,1,33,0
1022,13,3,2,15,1,15,0
1023,32,2,3,1,0,23,1
1024,17,2,4,5,1,54,0
1025,32,2,5,5,0,47,0
1026,22,0,4,5,0,27,0
1027,4,4,6,5,1,31,0
1028,39,1,4,1,0,20,0
1029,8,10,3,1,0,29,0
1030,9,6,3,5,0,76,0
1031,6,17,5,5,0,16,1
1032,7,3,4,6,0,17,0
1033,12,8,6,4,0,39,1
1034,6,0,8,5,0,42,0
1035,4,0,2,5,0,25,1
1036,2,2,4,5,0,15,0
1037,39,0,3,5,1,18,0
1038,7,0,3,5,0,44,0
1039,33,22,4,5,0,23,0
1040,17,0,7,5,0,55,1
1041,1,0,2,5,0,19,1
1042,24,2,3,5,0,31,0
1043,20,56,4,17,1,16,0
1044,3,0,3,1,0,60,0
1045,19,2,5,2,0,37,0
1046,13,2,6,2,0,21,0
1047,1,0,4,5,0,17,0
1048,18,816,3,72,0,14,0
1049,32,16,5,4,0,25,0
1050,16,1,3,1,0,26,0
1051,6,12,4,5,0,22,0
1052,35,0,2,5,0,14,0
1053,11,0,3,5,0,19,1
1054,45,5,3,15,1,19,0
1055,22,2,4,2,0,17,0
1056,17,2,3,1,0,21,0
1057,23,0,4,5,0,21,0
1058,41,3,5,5,0,26,1
1059,10,1,4,1,1,21,1
1060,13,11,3,56,1,14,0
1061,45,2,2,5,1,16,1
1062,13,2,3,6,1,32,0
1063,5,1,3,5,0,37,0
1064,22,439,3,15,0,16,0
1065,10,0,3,5,0,23,0
1066,16,1,8,5,0,37,0
1067,4,2,4,5,0,19,0
1068,19,0,2,5,0,24,0
1069,9,24,2,5,0,16,0
1070,6,0,5,5,0,28,0
1071,7,1,3,5,0,25,0
1072,22,0,3,5,0,14,0
1073,7,1,3,5,0,16,0
1074,27,1,4,5,0,29,0
1075,11,17,7,1,0,20,0
1076,13,0,6,1,1,29,0
1077,14,0,4,5,0,27,0
1078,13,0,3,2,0,27,0
1079,11,155,5,158,0,65,0
1080,11,18,5,5,0,26,0
1081,7,11,2,16,0,18,0
1082,12,3,3,11,1,22,0
1083,13,0,3,5,0,17,0
1084,1,2,3,12,1,23,0
1085,11,5,3,5,0,20,0
1086,12,21,5,4,0,14,0
1087,24,38,5,42,0,26,0
1088,4,0,3,5,0,26,0
1089,3,0,5,5,0,31,0
1090,10,1,3,5,0,29,0
1091,6,1,3,5,0,22,0
1092,28,3,3,14,0,27,0
1093,3,6,6,1,0,18,0
1094,29,1,3,4,0,17,0
1095,13,1,4,5,0,14,0
1096,7,1336,4,30,0,20,0
1097,2,1,3,1,0,21,0
1098,14,5,3,5,0,20,1
1099,5,6,4,2,0,20,0
1100,35,8,5,3,0,16,0
1101,11,3,4,5,0,16,0
1102,13,5,5,5,0,21,0
1103,18,9,6,2,0,17,1
1104,18,19,4,5,1,15,0
1105,11,4,5,5,0,31,0
1106,14,0,3,5,0,28,0
1107,32,1,3,17,0,17,0
1108,13,1,2,2,0,24,0
1109,27,0,3,5,0,14,1
1110,22,15,3,3,0,22,1
1111,4,1,2,5,0,27,0
1112,23,0,3,5,1,19,0
1113,15,5,3,30,0,15,0
1114,7,0,2,5,0,21,0
1115,1,114,3,1,0,15,0
1116,19,0,3,5,0,110,0
1117,17,2,3,5,0,21,0
1118,15,5,4,10,0,21,0
1119,23,8,4,52,0,31,0
1120,25,20,4,32,0,19,0
1121,3,1,4,2,0,21,0
1122,2,1,2,5,0,18,0
1123,29,4,3,27,0,28,0
1124,12,71,5,52,0,17,0
1125,22,3,5,5,0,21,0
1126,8,1,5,5,0,21,0
1127,25,15,6,8,0,21,0
1128,1,2,3,5,0,30,0
1129,2,0,2,2,0,31,0
1130,16,10,2,7,0,18,0
1131,2,1,4,5,0,15,0
1132,6,0,3,5,1,20,0
1133,36,0,9,5,1,23,0
1134,3,2,4,11,0,21,0
1135,29,0,3,5,0,110,0
1136,4,1,5,5,0,17,0
1137,9,0,2,5,0,18,0
1138,34,6,4,5,0,20,1
1139,27,2,3,5,0,28,1
1140,4,0,4,1,1,17,1
1141,2,0,3,5,1,54,0
1142,1,0,3,3,0,33,1
1143,3,11,3,3,0,19,0
1144,9,2,3,5,0,23,0
1145,20,28,3,14,0,21,0
1146,12,9,2,13,0,14,0
1147,30,17,3,5,0,19,0
1148,14,15,4,11,0,20,0
1149,1,2,4,2,0,22,0
1150,18,0,3,5,0,21,0
1151,1,3,4,2,1,21,0
1152,30,60,2,2,0,16,1
1153,4,1,5,5,0,24,0
1154,23,7,3,15,0,15,0
1155,19,22,5,6,0,17,0
1156,3,0,3,5,0,15,0
1157,23,1,3,5,0,20,1
1158,1,2,3,5,0,23,0
1159,20,16,5,7,0,24,0
1160,19,10,7,2,0,42,0
1161,4,2,3,1,0,14,0
1162,6,1,3,5,0,23,0
1163,19,2,5,2,1,31,0
1164,39,1,2,5,0,17,0
1165,28,1,5,8,0,38,0
1166,31,8,3,8,0,16,0
1167,18,1,2,5,0,27,0
1168,8,0,3,5,0,21,0
1169,15,0,3,5,0,18,0
1170,28,2,2,5,0,17,1
1171,2,0,2,5,0,15,0
1172,9,8,3,5,0,21,0
1173,12,5,3,2,0,21,0
1174,10,4,5,5,1,24,0
1175,16,1,5,1,0,27,0
1176,23,0,5,5,0,27,0
1177,15,0,3,1,0,22,0
1178,2,0,4,5,0,25,0
1179,3,558,3,1,0,31,1
1180,9,0,4,5,0,21,0
1181,3,1,4,1,0,17,0
1182,2,0,2,5,0,22,0
1183,6,1,3,5,0,16,1
1184,28,0,2,5,0,14,1
1185,32,26,3,33,0,14,0
1186,24,47,8,24,0,25,0
1187,17,80,3,5,0,27,0
1188,4,0,3,5,1,16,1
1189,23,3,3,1,1,17,0
1190,16,8,8,1,1,24,0
1191,23,0,4,1,1,17,0
1192,8,2,6,4,1,20,0
1193,18,7,3,6,1,21,0
1194,38,86,4,5,0,16,0
1195,5,3,3,5,1,93,0
1196,20,3,4,5,1,29,1
1197,33,5,5,8,0,18,1
1198,20,16,6,1,1,20,0
1199,18,1,2,5,1,22,0
1200,9,36,5,3,1,23,0
1201,38,3,4,5,0,28,0
1202,19,3,3,6,1,21,0
1203,24,168,3,17,1,19,0
1204,13,3,3,5,0,16,0
1205,21,0,3,5,0,21,0
1206,21,5,4,4,0,32,1
1207,7,2,4,5,0,17,0
1208,38,0,2,5,0,18,0
1209,12,46,5,3,0,16,0
1210,1,12,3,7,1,21,0
1211,10,1,3,5,0,15,0
1212,9,0,3,5,0,21,0
1213,5,6,4,3,0,16,0
1214,9,1,4,4,0,20,0
1215,12,0,6,5,0,23,0
1216,21,14,4,5,0,24,0
1217,20,0,3,5,1,23,0
1218,8,2,5,5,0,22,0
1219,38,0,2,5,0,28,0
1220,6,1,5,5,0,32,0
1221,32,1,3,4,0,20,0
1222,29,23,3,2,0,31,0
1223,30,1,3,5,1,15,0
1224,33,0,6,5,0,21,1
1225,21,1,2,5,0,21,0
1226,6,2,4,1,0,19,0
1227,26,8,5,6,0,16,0
1228,5,178,4,1,0,22,0
1229,15,3,3,7,1,26,0
1230,1,0,2,5,0,13,0
1231,21,4,3,2,0,18,0
1232,8,2984,3,33,0,21,0
1233,6,16,5,14,0,17,0
1234,3,1,5,5,0,30,1
1235,25,36,3,36,0,44,0
1236,32,8,3,5,1,34,0
1237,4,3,3,7,0,18,0
1238,26,26,5,13,0,29,0
1239,21,2,4,8,0,22,0
1240,26,4,3,5,0,19,0
1241,4,0,2,5,0,18,0
1242,19,0,2,5,0,22,0
1243,17,0,3,5,0,20,0
1244,14,10,4,2,0,46,1
1245,5,0,3,5,0,16,0
1246,12,4,3,5,0,19,0
1247,8,0,3,5,0,29,0
1248,21,12,5,3,0,32,0
1249,5,1,2,5,0,47,0
1250,24,0,2,5,1,31,0
1251,8,0,2,5,1,28,0
1252,26,0,4,5,0,35,0
1253,8,1,3,5,0,24,0
1254,20,0,3,2,0,18,0
1255,23,15,2,54,0,44,0
1256,21,3,3,4,0,18,0
1257,19,71,4,28,0,21,0
1258,38,1,2,1,0,32,0
1259,5,122,3,7,0,16,0
1260,20,1,3,5,1,28,0
1261,1,3,4,5,0,21,0
1262,23,10,4,21,0,16,0
1263,25,3,3,1,0,15,0
1264,6,1,2,5,0,37,0
1265,1,28,3,11,0,22,0
1266,24,11,2,5,0,21,0
1267,9,1,2,2,0,19,0
1268,1,0,3,1,0,38,0
1269,13,9,3,5,0,16,0
1270,37,2,5,5,0,21,0
1271,36,6,4,7,0,20,0
1272,2,0,2,5,0,21,0
1273,40,0,4,5,0,24,0
1274,8,4,3,2,0,15,0
1275,14,1,4,4,0,21,1
1276,3,0,3,5,0,22,0
1277,16,15,3,1,0,17,0
1278,19,8,3,8,0,21,0
1279,20,8,3,5,0,17,0
1280,22,0,3,5,0,29,0
1281,20,6,4,5,0,19,0
1282,11,35,4,17,0,21,0
1283,22,0,3,5,0,18,0
1284,10,166,3,71,1,24,0
1285,25,1,2,5,0,19,0
1286,24,3,3,1,0,26,0
1287,22,0,4,5,0,16,1
1288,14,4,4,5,0,16,0
1289,2,1,3,5,0,22,0
1290,11,9,5,16,0,39,0
1291,25,0,3,5,0,14,0
1292,3,2,2,5,0,21,0
1293,5,2,4,3,0,28,0
1294,14,0,3,2,0,22,0
1295,1,5,7,17,0,29,0
1296,16,62,3,49,0,23,0
1297,16,9,3,5,0,23,0
1298,13,25,6,19,0,33,0
1299,1,8,6,1,0,110,0
1300,30,1,3,5,0,14,0
1301,12,8,3,5,0,16,0
1302,29,2,4,5,0,19,1
1303,2,5,3,5,0,14,0
1304,34,0,2,5,0,21,0
1305,15,2,2,5,0,14,1
1306,18,12,5,12,0,25,0
1307,13,0,2,2,0,43,0
1308,2,56,4,60,0,19,0
1309,26,25,6,1,0,32,0
1310,18,66,2,7,0,20,0
1311,20,1,3,5,0,17,0
1312,12,4,6,5,0,42,0
1313,9,235,5,131,0,23,1
1314,23,3,2,5,0,17,0
1315,4,0,3,5,0,16,0
1316,2,3,2,5,0,18,0
1317,35,7,4,19,0,21,1
1318,7,12,3,19,0,32,0
1319,10,0,3,5,0,19,0
1320,21,2,7,1,0,28,0
1321,16,0,8,1,0,29,0
1322,35,0,4,5,0,18,0
1323,16,2,4,1,0,22,0
1324,6,2,3,6,0,20,0
1325,15,4,4,5,0,15,0
1326,29,1,5,5,0,22,0
1327,31,0,6,6,0,27,0
1328,27,2,3,5,1,22,0
1329,23,7,3,4,0,15,0
1330,5,6,4,5,0,21,0
1331,14,1,2,12,0,15,0
1332,12,1,7,3,0,38,0
1333,2,3,3,5,1,22,0
1334,42,2,4,5,1,15,0
1335,3,1,3,1,1,14,0
1336,10,0,3,5,0,20,1
1337,1,0,2,5,0,16,0
1338,29,0,7,5,0,35,1
1339,6,0,3,5,0,30,0
1340,22,23,5,5,0,20,0
1341,40,0,3,5,0,24,0
1342,4,8,5,42,0,28,0
1343,26,0,5,5,0,38,0
1344,3,9,3,5,0,20,0
1345,18,1,3,6,0,39,1
1346,25,1,6,5,0,42,1
1347,10,0,2,2,0,20,0
1348,1,66,5,116,0,16,0
1349,16,0,3,5,1,21,0
1350,3,6,5,6,1,22,0
1351,21,22,3,18,0,20,0
1352,28,3,2,5,0,18,0
1353,9,6,4,5,0,40,0
1354,4,0,5,5,0,25,0
1355,26,5,5,2,0,36,1
1356,3,1,3,5,0,19,0
1357,26,0,3,5,0,21,1
1358,16,3,4,5,1,34,0
1359,3,0,2,5,0,18,0
1360,12,3,4,1,0,28,0
1361,18,0,5,5,0,26,0
1362,18,2,3,1,0,18,0
1363,18,5,2,4,0,21,0
1364,14,3,2,5,0,14,0
1365,36,10,3,1,1,24,0
1366,13,2,4,5,0,19,0
1367,1,4,2,2,0,16,0
1368,21,16,4,12,0,16,0
1369,10,3,3,4,0,18,0
1370,6,0,4,2,0,44,0
1371,21,0,3,1,0,19,0
1372,29,2,5,5,0,31,1
1373,34,4,3,5,0,21,0
1374,14,297,4,84,0,22,0
1375,12,0,4,5,0,34,0
1376,34,2,3,2,0,24,0
1377,33,0,2,5,0,21,0
1378,1,114,6,12,0,19,0
1379,14,2,3,5,0,21,0
1380,15,0,3,1,0,16,0
1381,21,1,4,3,0,15,0
1382,24,0,3,5,0,26,0
1383,19,0,6,3,0,25,0
1384,30,3,2,5,0,16,0
1385,14,1,3,4,0,20,0
1386,16,4,5,1,0,110,0
1387,8,11,7,17,0,25,0
1388,4,7,4,5,0,21,0
1389,15,0,7,5,0,27,0
1390,4,1,4,5,0,21,0
1391,6,0,3,5,0,17,1
1392,27,14,7,8,0,17,0
1393,1,3,6,2,0,22,0
1394,35,3,6,4,0,19,0
1395,3,2,3,32,0,56,0
1396,18,1,2,25,1,15,0
1397,1,0,8,5,0,41,0
1398,18,22,4,10,0,21,0
1399,18,15,4,2,1,21,0
1400,23,17,3,7,1,16,0
1401,1,0,4,5,0,32,0
1402,17,4,3,29,0,37,0
1403,5,0,5,5,0,90,0
1404,26,1,3,5,0,14,1
1405,3,7,5,5,0,110,0
1406,2,0,2,1,0,15,0
1407,4,7,3,33,1,35,0
1408,6,0,5,5,0,19,0
1409,11,0,8,5,0,33,0
1410,25,0,2,5,0,31,0
1411,11,0,3,5,0,26,0
1412,9,2,3,5,0,44,0
1413,11,2,4,9,0,21,0
1414,37,7,5,1,0,24,0
1415,6,0,5,5,0,25,0
1416,2,0,5,5,0,29,0
1417,2,1,3,5,0,17,0
1418,5,227,8,203,0,32,0
1419,5,0,2,5,0,15,0
1420,2,18,3,7,0,19,0
1421,38,7,3,5,0,14,1
1422,16,0,6,5,0,49,0
1423,25,0,7,1,0,35,1
1424,3,0,3,5,0,22,0
1425,20,1,3,5,0,28,0
1426,37,5,4,6,0,20,0
1427,3,165,3,41,0,22,0
1428,32,2,3,8,0,32,0
1429,21,2,5,5,0,18,0
1430,33,0,3,5,0,20,0
1431,24,2,3,5,0,32,0
1432,19,4,2,5,0,20,0
1433,38,2,3,13,0,22,0
1434,3,0,5,5,0,23,0
1435,20,3,3,6,0,14,0
1436,28,2,8,5,0,109,0
1437,29,0,4,5,1,21,0
1438,1,7,4,5,0,64,1
1439,25,101,4,8,0,24,0
1440,5,3,3,5,0,18,0
1441,10,63,3,12,0,19,0
1442,20,3,4,5,0,19,0
1443,13,4,5,5,0,16,0
1444,3,51,6,65,0,33,0
1445,14,1,3,5,0,21,1
1446,5,0,2,5,0,14,0
1447,23,574,4,48,0,23,0
1448,18,29,3,8,0,18,0
1449,25,7,5,5,0,26,0
1450,19,6,5,17,0,22,0
1451,23,0,3,5,0,20,1
1452,13,0,3,3,0,18,0
1453,13,5,2,1,0,18,0
1454,4,0,3,5,0,14,1
1455,8,4,2,1,0,16,0
1456,19,2,3,11,1,21,0
1457,12,0,3,5,0,21,0
1458,17,1,8,10,0,27,0
1459,33,0,3,1,0,14,0
1460,9,1,4,5,0,22,0
1461,1,14,3,26,0,19,0
1462,17,2,2,2,0,73,0
1463,13,0,3,3,0,20,0
1464,2,1,7,7,0,23,1
1465,3,1,5,5,0,20,0
1466,17,1,2,5,1,15,0
1467,20,0,2,5,0,24,0
1468,21,0,3,5,0,14,0
1469,24,4,5,3,0,18,0
1470,7,0,5,5,0,29,0
1471,11,1,3,5,0,21,1
1472,31,5,5,1,0,26,1
1473,3,3,3,5,0,111,0
1474,5,4,3,9,0,14,0
1475,14,0,3,5,0,22,0
1476,31,5,3,2,0,22,0
1477,17,0,3,5,0,22,0
1478,18,0,6,5,0,31,0
1479,25,0,3,5,0,21,0
1480,15,4,4,1,0,20,1
1481,16,2,3,5,0,31,0
1482,45,0,7,1,0,24,1
1483,14,0,3,5,0,17,0
1484,19,2,5,1,0,20,0
1485,16,37,6,9,0,21,0
1486,18,2,5,5,0,26,0
1487,23,10,5,8,0,20,0
1488,29,5,4,2,0,18,0
1489,37,1,6,5,0,26,0
1490,11,1,3,5,0,20,0
1491,3,10,5,3,0,22,0
1492,24,4,3,2,0,15,0
1493,22,6,2,1,0,15,0
1494,29,0,3,2,0,20,0
1495,5,0,2,1,0,20,1
1496,4,3,3,5,0,17,0
1497,5,1,3,2,0,19,0
1498,9,6,2,1,0,14,0
1499,4,0,3,5,0,40,0
1500,3,5,3,5,0,15,0
1501,10,3,3,5,0,22,0
1502,2,0,5,5,0,18,0
1503,5,0,2,5,0,31,0
1504,6,13,7,9,0,31,0
1505,6,85,3,2,0,41,0
1506,19,2,2,5,0,24,0
1507,12,2,3,5,0,16,0
1508,3,4,4,7,0,23,0
1509,20,2,5,1,0,17,0
1510,6,15,4,12,0,20,0
1511,21,3,5,3,1,31,0
1512,35,0,3,5,0,21,0
1513,20,2,4,1,0,35,1
1514,3,75,7,15,0,21,0
1515,10,7,4,2,0,26,0
1516,40,0,3,5,0,22,1
1517,2,38,3,19,0,18,0
1518,28,5,5,12,0,111,0
1519,29,2,5,5,0,21,0
1520,12,3,4,4,0,22,0
1521,14,0,3,5,0,17,0
1522,16,2,6,3,1,18,0
1523,20,10,5,15,1,21,0
1524,4,0,7,5,1,22,0
1525,29,3,7,15,1,30,0
1526,6,145,6,22,1,23,0
1527,17,0,6,5,1,22,0
1528,25,0,8,5,0,23,1
1529,19,2,4,5,1,21,0
1530,3,0,2,5,0,42,1
1531,13,2,3,2,0,14,0
1532,14,2,4,5,0,21,0
1533,6,9,3,2,0,21,0
1534,12,0,6,5,0,27,0
1535,9,0,3,5,0,19,0
1536,6,0,3,5,0,23,0
1537,28,26,3,78,0,17,0
1538,6,0,5,5,0,24,0
1539,24,20,3,26,0,18,0
1540,2,31,3,2,0,21,0
1541,23,12,3,22,0,15,0
1542,1,1,3,1,0,15,0
1543,36,2,4,1,0,28,0
1544,12,1,4,5,0,22,0
1545,3,1,8,5,0,27,0
1546,17,5,4,5,0,21,0
1547,4,11,4,5,0,17,0
1548,6,0,5,5,0,28,0
1549,26,0,2,5,0,21,0
1550,5,1,6,5,0,18,0
1551,1,12,9,2,0,30,0
1552,7,1,4,5,0,31,0
1553,17,32,4,5,1,37,1
1554,28,4,3,9,1,19,0
1555,3,4,3,5,0,20,0
1556,25,5,7,2,0,24,0
1557,10,3,6,41,0,24,0
1558,15,0,3,5,0,22,0
1559,20,0,2,5,0,15,0
1560,5,82,4,76,0,29,0
1561,45,2,4,5,0,25,0
1562,1,0,2,5,0,27,0
1563,8,430,4,11,0,15,0
1564,25,1,4,5,0,21,0
1565,5,22,4,52,0,15,0
1566,8,18,2,36,0,20,0
1567,6,0,2,1,0,15,0
1568,9,2,3,5,0,21,0
1569,2,0,5,5,0,21,1
1570,17,0,3,5,0,35,0
1571,1,0,5,5,0,32,0
1572,17,9,4,2,0,59,0
1573,23,1,4,1,0,22,0
1574,5,1,4,5,0,22,0
1575,19,7,5,13,0,22,0
1576,13,2,6,3,0,28,0
1577,14,1,6,95,0,41,0
1578,3,2,7,6,0,33,0
1579,7,0,3,5,0,19,1
1580,18,0,2,5,0,15,0
1581,27,1,5,1,0,21,0
1582,5,11,3,20,0,14,0
1583,5,6,3,5,0,21,0
1584,28,6,3,2,0,32,0
1585,1,21,3,6,1,19,0
1586,28,42,4,20,0,29,1
1587,11,1,3,5,0,17,0
1588,10,1,3,1,0,20,0
1589,7,0,3,5,0,18,0
1590,14,0,3,5,0,17,0
1591,39,6,5,5,0,24,1
1592,10,27,3,26,0,21,0
1593,36,102,8,110,0,30,0
1594,9,3,5,54,0,43,0
1595,1,0,3,5,0,18,0
1596,9,0,3,5,0,19,0
1597,11,0,6,5,0,29,0
1598,22,1102,3,61,0,29,0
1599,13,9,4,2,0,22,0
1600,3,1,2,5,0,14,0
1601,31,3,5,4,1,42,1
1602,8,1,7,3,0,41,0
1603,33,1,6,2,1,39,0
1604,11,580,5,78,0,31,0
1605,38,1,2,5,1,18,0
1606,33,48,5,3,0,17,0
1607,12,1,5,5,0,19,0
1608,15,0,3,5,0,21,0
1609,6,0,2,5,0,33,0
1610,13,0,3,5,0,20,0
1611,31,70,2,15,0,40,0
1612,3,1,2,5,1,22,0
1613,28,0,5,5,0,40,1
1614,16,21,3,35,0,110,0
1615,15,0,3,5,0,14,0
1616,13,0,2,6,1,14,1
1617,3,135,4,46,0,17,0
1618,17,469,3,2,0,15,0
1619,17,5,2,17,0,34,0
1620,1,2,4,5,0,17,0
1621,6,6,4,5,0,16,0
1622,1,0,5,5,0,31,0
1623,42,10,4,3,0,29,0
1624,4,2,3,22,0,22,0
1625,13,0,6,5,0,29,0
1626,8,3,3,3,1,20,0
1627,6,0,2,5,0,14,0
1628,7,0,3,5,1,19,0
1629,1,1,3,4,0,21,0
1630,2,0,5,5,0,22,0
1631,18,9,3,7,0,20,1
1632,8,0,3,3,0,19,0
1633,38,0,3,5,0,110,0
1634,22,0,3,5,0,19,0
1635,5,0,5,5,0,46,0
1636,22,22,3,4,0,17,0
1637,20,4,4,5,0,15,0
1638,31,3,4,5,0,21,0
1639,13,0,7,22,0,38,0
1640,26,0,3,5,1,15,0
1641,14,10,4,3,0,20,0
1642,32,6,4,5,0,24,1
1643,6,7,3,5,0,21,0
1644,4,0,2,5,0,16,0
1645,15,0,2,5,0,22,0
1646,14,0,3,5,0,16,1
1647,7,0,3,2,0,17,0
1648,11,37,3,8,0,15,0
1649,15,5,2,12,0,14,0
1650,2,0,3,5,0,14,0
1651,11,0,2,5,0,16,0
1652,17,3,3,1,0,22,1
1653,23,0,2,5,0,26,0
1654,4,1,5,7,0,19,0
1655,12,0,3,5,0,20,0
1656,1,1,3,22,0,22,0
1657,37,49,2,5,0,21,0
1658,8,4,3,1,0,17,0
1659,19,16,4,4,0,19,0
1660,6,0,2,5,0,23,0
1661,17,20,6,5,0,27,0
1662,37,5,5,5,0,23,0
1663,4,0,3,1,0,23,0
1664,1,12,4,5,0,15,0
1665,2,8,6,16,0,42,0
1666,30,2,4,5,0,20,0
1667,29,0,2,1,0,19,0
1668,3,114,3,11,0,18,0
1669,2,0,4,5,0,21,0
1670,27,1,2,5,0,20,0
1671,3,24,3,33,0,19,0
1672,12,0,3,5,0,55,0
1673,6,1191,2,17,1,39,0
1674,24,3,2,21,1,33,0
1675,2,2,2,5,0,24,0
1676,12,520,3,26,0,40,0
1677,27,0,2,5,0,21,0
1678,29,2,2,5,0,13,0
1679,29,11,3,5,0,19,0
1680,34,8,4,5,0,19,0
1681,6,0,3,2,0,15,0
1682,9,6,3,1,0,22,0
1683,32,0,5,1,0,59,1
1684,10,25,6,9,0,32,0
1685,4,8,6,5,0,23,0
1686,25,0,3,5,1,17,0
1687,15,296,6,29,0,23,0
1688,19,5,3,5,0,16,0
1689,2,0,3,1,0,17,0
1690,12,6,3,8,0,22,0
1691,9,5,3,1,0,22,0
1692,31,0,3,5,0,52,0
1693,6,4,2,1,0,14,0
1694,3,0,4,5,0,23,0
1695,10,1,3,5,0,40,0
